,Symbol,Industry,Sector
253,JMFINANCIL,Financial Services,Wealth Management
254,JSWENERGY,Power,Power Generation & Distribution
255,JSWHL,Financial Services,Holding
256,JSWINFRA,Services,Marine Port & Services
257,JSWSTEEL,Metals & Mining,Steel
258,JPPOWER,Power,Power Generation & Distribution
259,J&KBANK,Financial Services,Banks - Public
260,JINDALSAW,Capital Goods,Steel
261,JSL,Metals & Mining,Steel
262,JINDALSTEL,Metals & Mining,Steel
263,JIOFIN,Financial Services,NBFC
264,JUBLFOOD,Consumer Services,Quick Service Restaurant
265,JUBLINGREA,Chemicals,Chemicals
266,JUBLPHARMA,Healthcare,Pharmaceuticals
267,JWL,Capital Goods,Capital Goods-Non Electrical Equipment
268,JUSTDIAL,Consumer Services,E-Commerce/App based Aggregator
269,JYOTHYLAB,Fast Moving Consumer Goods,FMCG
270,JYOTICNC,Capital Goods,Capital Goods-Non Electrical Equipment
271,KPRMILL,Textiles,Readymade Garments/ Apparells
272,KEI,Capital Goods,Cables
273,KNRCON,Construction,Infrastructure Developers & Operators
274,KPITTECH,Information Technology,IT - Software
275,KAJARIACER,Consumer Durables,Ceramic Products
276,KPIL,Construction,Infrastructure Developers & Operators
277,KALYANKJIL,Consumer Durables,"Diamond, Gems and Jewellery"
278,KANSAINER,Consumer Durables,Paints/Varnish
279,KARURVYSYA,Financial Services,Banks - Private
280,KAYNES,Capital Goods,Consumer Durables
281,KEC,Construction,Infrastructure Developers & Operators
282,KFINTECH,Financial Services,Financial Services
283,KIRLOSBROS,Capital Goods,Capital Goods-Non Electrical Equipment
284,KIRLOSENG,Capital Goods,Capital Goods-Non Electrical Equipment
285,KOTAKBANK,Financial Services,Banks - Private
286,KIMS,Healthcare,Healthcare
287,LTF,Financial Services,FMCG
288,LTTS,Information Technology,IT - Software
289,LICHSGFIN,Financial Services,Housing Finance
290,LTFOODS,Fast Moving Consumer Goods,FMCG
291,LTIM,Information Technology,IT - Software
292,LT,Construction,Infrastructure Developers & Operators
293,LATENTVIEW,Information Technology,IT - Software
294,LAURUSLABS,Healthcare,Pharmaceuticals
295,LEMONTREE,Consumer Services,Hotels & Restaurants
296,LICI,Financial Services,Insurance
297,LINDEINDIA,Chemicals,Chemicals
298,LLOYDSME,Metals & Mining,Mining & Mineral products
299,LUPIN,Healthcare,Pharmaceuticals
300,MMTC,Services,Trading
301,MRF,Automobile and Auto Components,Tyres
302,LODHA,Realty,Realty
303,MGL,Oil Gas & Consumable Fuels,Gas Distribution
304,MAHSEAMLES,Capital Goods,Steel
305,M&MFIN,Financial Services,NBFC
306,M&M,Automobile and Auto Components,Automobile - 4 Wheelers
307,MANAPPURAM,Financial Services,NBFC
308,MRPL,Oil Gas & Consumable Fuels,Refineries
309,MANKIND,Healthcare,Pharmaceuticals
310,MARICO,Fast Moving Consumer Goods,Edible Oil
311,MARUTI,Automobile and Auto Components,Automobile - 4 Wheelers
312,MASTEK,Information Technology,IT - Software
313,MFSL,Financial Services,Insurance
314,MAXHEALTH,Healthcare,Healthcare
315,MAZDOCK,Capital Goods,Aerospace & Defence
316,METROPOLIS,Healthcare,Healthcare
317,MINDACORP,Automobile and Auto Components,Auto Ancillaries
318,MSUMI,Automobile and Auto Components,Auto Ancillaries
319,MOTILALOFS,Financial Services,Stock/ Commodity Brokers
320,MPHASIS,Information Technology,IT - Software
321,MCX,Financial Services,Financial Services
322,MUTHOOTFIN,Financial Services,NBFC
323,NATCOPHARM,Healthcare,Pharmaceuticals
324,NBCC,Construction,Infrastructure Developers & Operators
325,NCC,Construction,Infrastructure Developers & Operators
326,NHPC,Power,Power Generation & Distribution
327,NLCINDIA,Power,Power Generation & Distribution
328,NMDC,Metals & Mining,Mining & Mineral products
329,NSLNISP,Metals & Mining,Steel
330,NTPCGREEN,Power,Power Generation & Distribution
331,NTPC,Power,Power Generation & Distribution
332,NH,Healthcare,Healthcare
333,NATIONALUM,Metals & Mining,Non Ferrous Metals
334,NAVA,Power,Diversified
335,NAVINFLUOR,Chemicals,Chemicals
336,NESTLEIND,Fast Moving Consumer Goods,FMCG
337,NETWEB,Information Technology,IT - Hardware
338,NETWORK18,Media Entertainment & Publication,Media - Print/Television/Radio
339,NEULANDLAB,Healthcare,Pharmaceuticals
340,NEWGEN,Information Technology,IT - Software
341,NAM-INDIA,Financial Services,AMC
342,NIVABUPA,Financial Services,Insurance
343,NUVAMA,Financial Services,Stock/ Commodity Brokers
344,OBEROIRLTY,Realty,Realty
345,ONGC,Oil Gas & Consumable Fuels,Crude Oil & Natural Gas
346,OIL,Oil Gas & Consumable Fuels,Crude Oil & Natural Gas
